Name,Bottle Size,Original Price,Discounted Price,Img link
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹189,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/ie3vmqkzsq1wxtsnzavt/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q.png"
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,bottle of 10 ml Eye Drop,₹175,₹151,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/w1ryyeu6onuljmf6igtg/dr-willmar-schwabe-germany-cineraria-maritima-without-alcohol-eye-drop.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,₹199,₹139,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Arnica Montana Herbal Shampoo with TJC,bottle of 200 ml Shampoo,₹170,₹146,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/qnjteicqbjz5fm8ugwce/sbl-arnica-montana-herbal-shampoo-with-tjc.png"
Boericke and Tafel Arnica Shampoo,pump bottle of 250 ml Shampoo,₹200,₹190,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/leptfjo4jfvz2wlpl9cu/boericke-and-tafel-arnica-shampoo.png"
Dr. Reckeweg R78 Eye Care Drop,bottle of 22 ml Drop,₹270,₹242,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/rj8njkvga0vodhv42dev/dr.-reckeweg-r78-eye-care-drop.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,₹597,₹418,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Bakson's Vitamin D Plus Capsule,box of 50 capsules,₹250,₹225,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/dzq2yf5kodpx6o4ofsz0/bakson-s-vitamin-d-plus-capsule.png"
Hapdco Rheumacon Pain Relief Oil,bottle of 60 ml Oil,₹175,₹151,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/ycs28mgr9ptqdbudiyeg/dr.-reckeweg-r5-stomach-and-digestion-drop.jpg"
Fourrts Gum Forte Gel Homoeopathic Toothpaste,tube of 100 gm Gel,₹100,₹90,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/b3736258-a59e-4965-b00a-da9be10c38d1/sbl-berberis-aquifolium-gel.jpeg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,₹398,₹279,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Jaborandi Hair Oil,bottle of 200 ml Oil,₹270,₹201,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/aubtrz5by9wed3lceyby/dr.-reckeweg-r25-prostatitis-drop.jpg"
SBL Cineraria Maritima 10% Eye Drop,bottle of 10 ml Eye Drop,₹135,₹126,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/vx5wbupdqyknqmzzvhfq/sbl-tonicard-gold-drop-homeopathic-medicine.jpg"
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,bottle of 25 ml Drop,₹550,₹494,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/rtdtta3hamvemtwonjtc/dr.-reckeweg-r42-varicosis-drop.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,₹796,₹557,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Bjain Guatteria Gaumeri Drop,bottle of 30 ml Drop,₹365,₹314,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/ergrpppp0crrivsypqj9/sbl-arsenicum-album-dilution-30-ch.png"
SBL Sarracenia Purpurea Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹120,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/yp1q32bstzi47ytfkbwa/wheezal-hekla-lava-tooth-powder.png"
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹185,₹160,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/bqbc2olgqoquygvkb0rl/sbl-rhus-toxicodendron-dilution-200-ch.jpg"
Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,₹270,₹227,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,₹310,₹267,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/y5x0t4posq3m9zjvejwi/dr.-reckeweg-nux-vomica-dilution-30-ch.jpg"
Bakson's Y-Lax Tablet,bottle of 75 tablets,₹215,₹211,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/rguwzwt4bpmj3fdqv0so/dr.-reckeweg-r85-high-blood-pressure-drop.jpg"
